,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
2806,small,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
2807,small,small,small,small,small,small,medium,medium,medium,small,small,small,small,small,small,small
2808,small,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,small,small
2809,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
2810,small,medium,large,large,small,small,large,large,large,small,small,small,small,small,small,small
2811,small,small,small,small,small,small,medium,large,large,small,small,large,large,large,small,small
2812,small,small,small,small,small,small,small,small,small,small,small,medium,large,large,small,small
2813,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2814,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2815,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2816,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2817,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2818,small,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
2819,small,small,small,small,small,small,medium,medium,medium,small,small,small,small,small,small,small
2820,small,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,small,small
2821,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2822,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2823,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2824,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2825,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2826,small,small,small,small,small,medium,small,small,small,small,small,small,small,small,small,small
2827,small,large,large,large,small,small,small,small,small,small,medium,small,small,small,small,small
2828,small,small,small,small,small,small,large,large,large,small,small,small,small,small,small,medium
2829,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
2830,small,medium,medium,large,small,small,small,small,small,small,small,small,small,small,small,small
2831,small,large,large,large,small,small,medium,medium,large,small,small,small,small,small,small,small
2832,small,medium,medium,large,small,small,large,large,large,small,small,medium,medium,large,small,small
2833,small,small,small,small,small,small,medium,medium,large,small,small,large,large,large,small,small
2834,small,small,small,small,small,small,small,small,small,small,small,medium,medium,large,small,small
2835,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2836,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2837,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2838,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2839,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2840,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2841,small,small,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
2842,small,large,large,large,small,small,small,medium,medium,small,small,small,small,small,small,small
2843,small,medium,large,large,small,small,large,large,large,small,small,small,medium,medium,small,small
2844,small,small,large,small,small,small,medium,large,large,small,small,large,large,large,small,small
2845,small,small,small,small,small,small,small,large,small,small,small,medium,large,large,small,small
2846,small,small,small,small,small,small,small,small,small,small,small,small,large,small,small,small
2847,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2848,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2849,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2850,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2851,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2852,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2853,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2854,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2855,small,medium,large,medium,small,small,small,small,small,small,small,small,small,small,small,small
2856,small,large,large,large,small,small,medium,large,medium,small,small,small,small,small,small,small
2857,small,medium,medium,medium,small,small,large,large,large,small,small,medium,large,medium,small,small
2858,small,large,large,large,small,small,medium,medium,medium,small,small,large,large,large,small,small
2859,small,large,large,large,small,small,large,large,large,small,small,medium,medium,medium,small,small
2860,small,small,small,small,small,small,large,large,large,small,small,large,large,large,small,small
2861,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
2862,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2863,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2864,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2865,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2866,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2867,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2868,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2869,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2870,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2871,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2872,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2873,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2874,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2875,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2876,small,medium,medium,large,small,small,small,small,small,small,small,small,small,small,small,small
2877,small,large,large,large,small,small,medium,medium,large,small,small,small,small,small,small,small
2878,small,large,large,large,small,small,large,large,large,small,small,medium,medium,large,small,small
2879,small,medium,large,medium,small,small,large,large,large,small,small,large,large,large,small,small
2880,small,small,medium,medium,small,small,medium,large,medium,small,small,large,large,large,small,small
2881,small,medium,medium,large,small,small,small,medium,medium,small,small,medium,large,medium,small,small
2882,small,small,medium,medium,small,small,medium,medium,large,small,small,small,medium,medium,small,small
2883,small,small,small,small,small,small,small,medium,medium,small,small,medium,medium,large,small,small
2884,small,small,small,small,small,small,small,small,small,small,small,small,medium,medium,small,small
2885,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2886,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2887,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2888,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2889,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2890,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small,small
2891,small,small,medium,small,small,small,small,medium,small,small,small,small,small,small,small,small
2892,small,small,small,small,small,small,small,medium,small,small,small,small,medium,small,small,small
2893,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small,small
2894,small,medium,large,medium,small,small,small,small,small,small,small,small,small,small,small,small
2895,small,small,large,large,small,small,medium,large,medium,small,small,small,small,small,small,small
2896,small,small,large,large,small,small,small,large,large,small,small,medium,large,medium,small,small
2897,small,small,large,medium,small,small,small,large,large,small,small,small,large,large,small,small
2898,small,large,large,large,small,large,small,large,medium,small,small,small,large,large,small,small
2899,small,small,small,small,small,small,large,large,large,small,large,small,large,medium,small,small
2900,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,large
2901,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2902,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
2903,small,small,large,small,small,medium,large,large,large,small,small,small,small,small,small,small
2904,medium,large,small,large,small,small,small,large,small,small,medium,large,large,large,small,small
2905,small,large,large,large,medium,large,large,small,large,small,small,small,large,small,small,medium
2906,small,small,large,small,small,small,large,large,large,medium,large,large,small,large,small,small
2907,small,large,small,large,small,small,small,large,small,small,small,large,large,large,medium,large
2908,small,large,small,large,small,medium,large,small,large,small,small,small,large,small,small,small
2909,small,small,small,small,small,small,large,small,large,small,medium,large,small,large,small,small
2910,small,small,large,small,small,small,small,small,small,small,small,large,small,large,small,medium
2911,small,small,small,small,small,small,small,large,small,small,small,small,small,small,small,small
2912,small,small,small,small,small,small,small,small,small,small,small,small,large,small,small,small
2913,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small,small
2914,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small,small
2915,small,small,small,medium,small,small,small,small,small,small,small,small,medium,small,small,small
2916,small,medium,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
2917,small,small,small,small,small,small,medium,small,small,small,small,small,small,medium,small,small
2918,small,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,small
2919,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2920,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2921,small,medium,large,medium,small,small,small,small,small,small,small,small,small,small,small,small
2922,small,small,small,small,small,small,medium,large,medium,small,small,small,small,small,small,small
2923,small,small,small,small,small,small,small,small,small,small,small,medium,large,medium,small,small
2924,small,large,small,large,small,small,small,small,small,small,small,small,small,small,small,small
2925,small,small,small,small,small,small,large,small,large,small,small,small,small,small,small,small
2926,small,small,medium,small,small,small,small,small,small,small,small,large,small,large,small,small
2927,small,large,small,large,small,small,small,medium,small,small,small,small,small,small,small,small
2928,small,small,small,small,small,small,large,small,large,small,small,small,medium,small,small,small
2929,small,small,small,small,small,small,small,small,small,small,small,large,small,large,small,small
2930,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2931,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2932,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2933,medium,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
2934,small,large,small,small,medium,medium,large,large,large,small,small,small,small,small,small,small
2935,small,large,large,large,small,small,large,small,small,medium,medium,large,large,large,small,small
2936,small,medium,small,medium,small,medium,large,large,large,small,small,large,small,small,medium,medium
2937,small,small,small,small,small,small,medium,small,medium,small,medium,large,large,large,small,small
2938,small,small,small,small,small,small,small,small,small,small,small,medium,small,medium,small,medium
2939,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
2940,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
2941,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
2942,small,large,medium,large,small,small,small,small,small,small,small,small,small,small,small,small
2943,medium,large,large,large,small,small,large,medium,large,small,small,small,small,small,small,small
2944,large,large,large,large,medium,medium,large,large,large,small,small,large,medium,large,small,small
2945,medium,medium,small,small,large,large,large,large,large,medium,medium,large,large,large,small,small
2946,medium,small,small,small,medium,medium,medium,small,small,large,large,large,large,large,medium,medium
2947,small,small,small,small,medium,medium,small,small,small,medium,medium,medium,small,small,large,large
2948,small,small,small,small,small,medium,small,small,small,medium,medium,small,small,small,medium,medium
2949,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,medium,medium
2950,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
2951,small,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
2952,small,small,small,small,small,small,medium,medium,medium,small,small,small,small,small,small,small
2953,small,medium,large,medium,small,small,small,small,small,small,small,medium,medium,medium,small,small
2954,large,large,large,large,small,small,medium,large,medium,small,small,small,small,small,small,small
2955,medium,large,small,large,large,large,large,large,large,small,small,medium,large,medium,small,small
2956,medium,small,small,small,medium,medium,large,small,large,large,large,large,large,large,small,small
2957,medium,small,small,small,medium,medium,small,small,small,medium,medium,large,small,large,large,large
2958,small,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
2959,small,small,small,small,small,medium,small,small,small,medium,medium,small,small,small,medium,medium
2960,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,medium,medium
2961,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
2962,small,small,small,small,small,small,small,small,small,small,small,medium,small,medium,medium,medium
2963,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2964,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2965,large,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
2966,large,large,large,large,large,medium,large,large,large,small,small,small,small,small,small,small
2967,large,large,large,large,large,large,large,large,large,large,medium,large,large,large,small,small
2968,large,large,medium,large,large,large,large,large,large,large,large,large,large,large,large,medium
2969,large,large,large,large,large,large,large,medium,large,large,large,large,large,large,large,large
2970,large,medium,small,medium,large,large,large,large,large,large,large,large,medium,large,large,large
2971,medium,medium,small,small,large,large,medium,small,medium,large,large,large,large,large,large,large
2972,medium,small,small,small,medium,large,medium,small,small,large,large,medium,small,medium,large,large
2973,medium,small,small,small,medium,medium,small,small,small,medium,large,medium,small,small,large,large
2974,medium,small,small,medium,medium,medium,small,small,small,medium,medium,small,small,small,medium,large
2975,medium,large,medium,large,medium,medium,small,small,medium,medium,medium,small,small,small,medium,medium
2976,medium,small,small,small,medium,medium,large,medium,large,medium,medium,small,small,medium,medium,medium
2977,medium,small,small,small,medium,medium,small,small,small,medium,medium,large,medium,large,medium,medium
2978,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
2979,medium,small,small,small,medium,small,small,small,small,medium,medium,small,small,small,medium,medium
2980,small,small,small,small,medium,small,small,small,small,medium,small,small,small,small,medium,medium
2981,small,small,small,small,small,small,small,small,small,medium,small,small,small,small,medium,small
2982,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small
2983,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2984,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2985,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
2986,small,large,medium,large,small,small,large,large,large,small,small,small,small,small,small,small
2987,small,small,small,small,small,small,large,medium,large,small,small,large,large,large,small,small
2988,small,small,small,small,small,small,small,small,small,small,small,large,medium,large,small,small
2989,medium,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
2990,small,small,small,small,medium,medium,large,large,large,small,small,small,small,small,small,small
2991,small,small,medium,small,small,small,small,small,small,medium,medium,large,large,large,small,small
2992,small,small,medium,medium,small,small,small,medium,small,small,small,small,small,small,medium,medium
2993,small,small,small,small,small,small,small,medium,medium,small,small,small,medium,small,small,small
2994,small,small,medium,small,small,small,small,small,small,small,small,small,medium,medium,small,small
2995,small,large,large,large,small,small,small,medium,small,small,small,small,small,small,small,small
2996,small,small,small,small,small,small,large,large,large,small,small,small,medium,small,small,small
2997,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
2998,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
2999,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3000,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3001,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3002,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3003,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3004,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3005,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3006,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3007,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3008,small,medium,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
3009,small,small,small,small,small,small,medium,small,medium,small,small,small,small,small,small,small
3010,small,medium,large,large,small,small,small,small,small,small,small,medium,small,medium,small,small
3011,small,medium,medium,medium,small,small,medium,large,large,small,small,small,small,small,small,small
3012,small,large,medium,large,small,small,medium,medium,medium,small,small,medium,large,large,small,small
3013,small,medium,medium,medium,small,small,large,medium,large,small,small,medium,medium,medium,small,small
3014,small,small,small,small,small,small,medium,medium,medium,small,small,large,medium,large,small,small
3015,small,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,small,small
3016,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3017,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3018,small,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
3019,small,small,large,medium,small,small,medium,medium,medium,small,small,small,small,small,small,small
3020,small,medium,medium,medium,small,small,small,large,medium,small,small,medium,medium,medium,small,small
3021,small,large,large,large,small,small,medium,medium,medium,small,small,small,large,medium,small,small
3022,small,medium,medium,large,small,small,large,large,large,small,small,medium,medium,medium,small,small
3023,small,large,large,large,small,small,medium,medium,large,small,small,large,large,large,small,small
3024,small,large,large,large,small,small,large,large,large,small,small,medium,medium,large,small,small
3025,small,large,large,large,small,small,large,large,large,small,small,large,large,large,small,small
3026,small,large,large,large,small,medium,large,large,large,small,small,large,large,large,small,small
3027,small,small,small,small,small,small,large,large,large,small,medium,large,large,large,small,small
3028,medium,large,large,large,small,small,small,small,small,small,small,large,large,large,small,medium
3029,medium,large,large,large,medium,medium,large,large,large,small,small,small,small,small,small,small
3030,medium,medium,medium,medium,medium,medium,large,large,large,medium,medium,large,large,large,small,small
3031,medium,small,small,small,medium,medium,medium,medium,medium,medium,medium,large,large,large,medium,medium
3032,medium,small,small,small,medium,medium,small,small,small,medium,medium,medium,medium,medium,medium,medium
3033,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3034,medium,large,large,large,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3035,medium,large,large,medium,medium,large,large,large,large,medium,medium,small,small,small,medium,medium
3036,large,large,large,large,medium,large,large,large,medium,medium,large,large,large,large,medium,medium
3037,large,large,large,large,large,large,large,large,large,medium,large,large,large,medium,medium,large
3038,large,medium,large,medium,large,large,large,large,large,large,large,large,large,large,medium,large
3039,large,large,large,large,large,large,medium,large,medium,large,large,large,large,large,large,large
3040,large,medium,large,large,large,large,large,large,large,large,large,medium,large,medium,large,large
3041,large,medium,small,medium,large,large,medium,large,large,large,large,large,large,large,large,large
3042,medium,small,small,small,large,large,medium,small,medium,large,large,medium,large,large,large,large
3043,medium,small,small,small,medium,large,small,small,small,large,large,medium,small,medium,large,large
3044,medium,small,small,small,medium,large,small,small,small,medium,large,small,small,small,large,large
3045,medium,small,small,small,medium,medium,small,small,small,medium,large,small,small,small,medium,large
3046,medium,large,large,large,medium,medium,small,small,small,medium,medium,small,small,small,medium,large
3047,medium,large,large,large,medium,medium,large,large,large,medium,medium,small,small,small,medium,medium
3048,medium,medium,small,medium,medium,medium,large,large,large,medium,medium,large,large,large,medium,medium
3049,medium,large,large,large,medium,medium,medium,small,medium,medium,medium,large,large,large,medium,medium
3050,medium,large,large,large,medium,medium,large,large,large,medium,medium,medium,small,medium,medium,medium
3051,medium,medium,small,large,medium,medium,large,large,large,medium,medium,large,large,large,medium,medium
3052,medium,small,small,small,medium,medium,medium,small,large,medium,medium,large,large,large,medium,medium
3053,medium,medium,medium,medium,medium,medium,small,small,small,medium,medium,medium,small,large,medium,medium
3054,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,small,small,small,medium,medium
3055,medium,small,small,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
3056,small,small,small,small,medium,medium,small,small,medium,medium,medium,medium,medium,medium,medium,medium
3057,small,small,small,small,small,medium,small,small,small,medium,medium,small,small,medium,medium,medium
3058,small,small,small,small,small,medium,small,small,small,small,medium,small,small,small,medium,medium
3059,small,medium,medium,large,small,medium,small,small,small,small,medium,small,small,small,small,medium
3060,small,small,small,small,small,medium,medium,medium,large,small,medium,small,small,small,small,medium
3061,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,large,small,medium
3062,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
3063,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3064,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small,small
3065,medium,large,large,large,medium,small,medium,medium,small,small,small,small,small,small,small,small
3066,large,large,large,large,medium,large,large,large,large,medium,small,medium,medium,small,small,small
3067,large,large,large,large,large,large,large,large,large,medium,large,large,large,large,medium,small
3068,medium,small,small,small,large,large,large,large,large,large,large,large,large,large,medium,large
3069,medium,small,small,small,medium,large,small,small,small,large,large,large,large,large,large,large
3070,medium,small,small,small,medium,medium,small,small,small,medium,large,small,small,small,large,large
3071,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,large
3072,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3073,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3074,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3075,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3076,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3077,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3078,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3079,medium,large,large,large,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
3080,medium,large,large,medium,medium,large,large,large,large,medium,medium,small,small,small,medium,medium
3081,medium,medium,medium,medium,medium,medium,large,large,medium,medium,large,large,large,large,medium,medium
3082,medium,large,large,large,medium,medium,medium,medium,medium,medium,medium,large,large,medium,medium,large
3083,medium,small,medium,medium,medium,medium,large,large,large,medium,medium,medium,medium,medium,medium,medium
3084,small,small,small,small,medium,medium,small,medium,medium,medium,medium,large,large,large,medium,medium
3085,small,small,small,small,small,medium,small,small,small,medium,medium,small,medium,medium,medium,medium
3086,small,medium,small,medium,small,medium,small,small,small,small,medium,small,small,small,medium,medium
3087,small,small,medium,medium,small,small,medium,small,medium,small,medium,small,small,small,small,medium
3088,small,small,small,small,small,small,small,medium,medium,small,small,medium,small,medium,small,medium
3089,small,small,small,small,small,small,small,small,small,small,small,small,medium,medium,small,small
3090,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3091,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3092,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
3093,small,large,large,large,small,small,large,large,large,small,small,small,small,small,small,small
3094,medium,large,large,large,small,medium,large,large,large,small,small,large,large,large,small,small
3095,medium,large,large,large,medium,medium,large,large,large,small,medium,large,large,large,small,small
3096,small,small,small,small,medium,medium,large,large,large,medium,medium,large,large,large,small,medium
3097,small,small,small,small,small,medium,small,small,small,medium,medium,large,large,large,medium,medium
3098,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,medium,medium
3099,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
3100,small,small,small,small,small,medium,small,small,small,small,small,small,small,small,small,small
3101,small,small,small,small,small,medium,small,small,small,small,medium,small,small,small,small,small
3102,small,medium,large,large,small,small,small,small,small,small,medium,small,small,small,small,medium
3103,small,large,medium,small,small,small,medium,large,large,small,small,small,small,small,small,medium
3104,small,small,small,small,small,medium,large,medium,small,small,small,medium,large,large,small,small
3105,small,medium,medium,medium,small,small,small,small,small,small,medium,large,medium,small,small,small
3106,small,small,small,small,small,medium,medium,medium,medium,small,small,small,small,small,small,medium
3107,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,medium,small,small
3108,small,large,medium,medium,small,small,small,small,small,small,small,small,small,small,small,medium
3109,small,large,medium,medium,small,small,large,medium,medium,small,small,small,small,small,small,small
3110,small,small,medium,small,small,small,large,medium,medium,small,small,large,medium,medium,small,small
3111,small,medium,medium,medium,small,small,small,medium,small,small,small,large,medium,medium,small,small
3112,medium,large,large,large,small,small,medium,medium,medium,small,small,small,medium,small,small,small
3113,medium,large,large,large,medium,medium,large,large,large,small,small,medium,medium,medium,small,small
3114,medium,small,small,small,medium,large,large,large,large,medium,medium,large,large,large,small,small
3115,small,small,small,small,medium,medium,small,small,small,medium,large,large,large,large,medium,medium
3116,small,small,small,small,small,medium,small,small,small,medium,medium,small,small,small,medium,large
3117,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,medium,medium
3118,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small,medium
3119,small,medium,medium,medium,small,small,small,medium,small,small,small,small,small,small,small,small
3120,small,small,small,small,small,small,medium,medium,medium,small,small,small,medium,small,small,small
3121,small,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,small,small
3122,small,medium,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3123,small,small,small,small,small,small,medium,small,small,small,small,small,small,small,small,small
3124,small,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,small
3125,small,medium,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
3126,small,small,medium,small,small,small,medium,small,medium,small,small,small,small,small,small,small
3127,small,small,small,small,small,small,small,medium,small,small,small,medium,small,medium,small,small
3128,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small,small
3129,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
3130,small,medium,medium,small,small,medium,large,large,large,small,small,small,small,small,small,small
3131,small,small,small,small,small,small,medium,medium,small,small,medium,large,large,large,small,small
3132,small,small,small,small,small,small,small,small,small,small,small,medium,medium,small,small,medium
3133,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3134,small,small,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
3135,small,small,small,small,small,small,small,medium,medium,small,small,small,small,small,small,small
3136,small,large,large,large,small,small,small,small,small,small,small,small,medium,medium,small,small
3137,small,small,small,small,small,small,large,large,large,small,small,small,small,small,small,small
3138,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
3139,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3140,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
3141,small,small,medium,small,small,small,small,small,medium,small,small,small,small,small,small,small
3142,small,large,large,medium,small,small,small,medium,small,small,small,small,small,medium,small,small
3143,small,large,medium,large,small,small,large,large,medium,small,small,small,medium,small,small,small
3144,small,medium,medium,small,small,small,large,medium,large,small,small,large,large,medium,small,small
3145,small,large,large,medium,small,small,medium,medium,small,small,small,large,medium,large,small,small
3146,small,small,small,small,small,small,large,large,medium,small,small,medium,medium,small,small,small
3147,small,small,medium,small,small,small,small,small,small,small,small,large,large,medium,small,small
3148,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small,small
3149,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small,small
3150,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3151,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3152,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3153,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3154,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3155,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
3156,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
3157,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
3158,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3159,small,medium,large,large,small,small,small,small,small,small,small,small,small,small,small,small
3160,small,small,small,medium,small,small,medium,large,large,small,small,small,small,small,small,small
3161,small,small,small,small,small,small,small,small,medium,small,small,medium,large,large,small,small
3162,small,large,medium,large,small,small,small,small,small,small,small,small,small,medium,small,small
3163,small,small,small,small,small,small,large,medium,large,small,small,small,small,small,small,small
3164,small,small,small,small,small,small,small,small,small,small,small,large,medium,large,small,small
3165,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3166,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3167,small,medium,medium,large,small,small,small,small,small,small,small,small,small,small,small,small
3168,small,large,small,large,small,small,medium,medium,large,small,small,small,small,small,small,small
3169,small,small,small,medium,small,small,large,small,large,small,small,medium,medium,large,small,small
3170,small,small,small,small,small,small,small,small,medium,small,small,large,small,large,small,small
3171,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
3172,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
3173,small,medium,small,large,small,small,small,small,small,small,small,small,small,small,small,small
3174,small,medium,large,small,small,small,medium,small,large,small,small,small,small,small,small,small
