,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
73,small,small,small,small,small,medium,small,small,small,small,medium,medium,small,medium,medium,medium
74,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,small,medium
75,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
76,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
77,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
78,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
79,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
80,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
81,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
82,medium,small,large,large,small,small,small,small,small,small,small,small,small,small,small,small
83,small,large,large,medium,medium,small,small,large,large,small,small,small,small,small,small,small
84,small,small,small,small,small,small,large,large,medium,medium,small,small,large,large,small,small
85,small,small,small,small,small,small,small,small,small,small,small,large,large,medium,medium,small
86,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
87,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
88,small,small,small,small,small,small,large,large,large,small,small,small,small,small,small,small
89,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
90,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
91,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
92,medium,large,large,large,small,small,small,small,small,small,small,small,small,medium,small,small
93,small,large,large,medium,medium,small,large,large,large,small,small,small,small,small,small,small
94,small,small,small,small,small,small,large,large,medium,medium,small,large,large,large,small,small
95,small,small,small,small,small,small,small,small,small,small,small,large,large,medium,medium,small
96,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small,small
97,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small,small
98,small,large,large,large,small,small,small,small,small,small,small,small,medium,small,small,small
99,small,large,medium,medium,small,small,large,large,large,small,small,small,small,small,small,small
100,small,medium,small,small,small,small,large,medium,medium,small,small,large,large,large,small,small
101,small,medium,large,large,small,small,medium,small,small,small,small,large,medium,medium,small,small
